yy;anom.originale;anom
1961;3.72;3.72
1962;1.76;1.76
1963;0.72;0.72
1964;-1.09;-1.09
1965;-2.3;-2.3
1966;1.88;1.88
1967;1.71;1.71
1968;0.46;0.46
1969;-0.62;-0.62
1970;-0.44;-0.44
1971;-1.67;-1.67
1972;-1.47;-1.47
1973;-0.11;-0.11
1974;-1.9;-1.9
1975;-2.6;-2.6
1976;-3.63;-3.63
1977;1.63;1.63
1978;-3.23;-3.23
1979;0.37;0.37
1980;-5.29;-5.29
1981;0.44;0.44
1982;2.62;2.62
1983;0.73;0.73
1984;-4.1;-4.1
1985;0.85;0.85
1986;0.35;0.35
1987;5.24;5.24
1988;3.42;3.42
1989;0.83;0.83
1990;4.65;4.65
1991;1.13;1.13
1992;3.47;3.47
1993;3.4;3.4
1994;9.68;9.68
1995;0.09;0.09
1996;1.11;1.11
1997;3.82;3.82
1998;4.68;4.68
1999;5.79;5.79
2000;7.59;7.59
2001;8.17;8.17
2002;7.63;7.63
2003;14.66;14.66
2004;5.28;5.28
2005;3.58;3.58
2006;7.67;7.67
2007;8.89;8.89
2008;7.32;7.32
2009;8.78;8.78
2010;5.75;5.75
2011;7.64;7.64
2012;10.14;10.14
2013;7.6;7.6
2014;10.79;10.79
2015;12.11;12.11
2016;9.72;9.72
2017;8.34;8.34
2018;13.92;13.92
